Geneid	../bam/americana_AG_1.bam	../bam/americana_AG_2.bam	../bam/americana_AG_3.bam	../bam/americana_carcass_1.bam	../bam/americana_carcass_2.bam	../bam/americana_carcass_3.bam	../bam/americana_EB_1.bam	../bam/americana_EB_2.bam	../bam/americana_testes_1.bam	../bam/americana_testes_2.bam	../bam/americana_testes_3.bam	../bam/DameSB_fem.bam	../bam/DameSB_mal.bam
MSTRG.14313	8	144	17	2	14	14	1	326	4094	5859	6586	13	29063
MSTRG.14314	438	544	447	1673	1206	1379	691	1253	4441	6093	7148	4715	38153
MSTRG.14315	132	369	174	290	382	281	162	681	4346	6658	7260	1238	22155
MSTRG.14316	2	74	4	0	11	19	6	176	1943	3386	3522	0	5902
MSTRG.14317	455	376	432	1284	1154	1575	2595	3059	147	166	232	2476	8747
MSTRG.14318	0	3	0	2	0	1	0	9	97	165	195	4	187
MSTRG.14319	0	0	4	113	318	156	30	48	0	0	8	681	458
MSTRG.14320	0	0	0	0	0	0	0	0	5	3	3	0	1025
MSTRG.14321	0	1	2	1	0	0	3	20	196	172	211	8	518
MSTRG.14322	110	310	311	459	724	573	197	646	2555	5146	6047	2321	24319
MSTRG.14323	0	2	0	0	0	0	2	13	115	207	199	4	568
MSTRG.14324	2552	3832	3885	15218	24551	5845	3308	6039	3050	4389	4795	14963	33825
MSTRG.14325	216	349	307	555	311	570	258	568	2577	4134	4799	3348	23685
MSTRG.14326	223	217	260	490	390	425	192	289	370	472	573	8871	3615
MSTRG.14327	105	194	127	427	383	405	99	452	3141	4926	6280	6969	27312
MSTRG.14328	264	240	311	749	411	704	287	511	190	297	384	2798	3456
MSTRG.14329	19	205	20	19	37	42	5	511	7360	8095	8975	31	27059
MSTRG.14330	533	596	572	808	1257	857	852	1395	532	854	947	4444	5407
MSTRG.14331	3	6	2	0	1	0	0	5	99	89	86	0	65
MSTRG.14332	1274	882	725	804	174	491	6	18	161	137	194	740	3957
MSTRG.14333	9	7	4	0	0	0	0	8	79	106	120	0	209
MSTRG.14334	0	44	2	0	1	3	0	30	391	730	836	2	3105
MSTRG.14335	0	0	0	1	0	1	0	25	183	223	262	0	1124
MSTRG.14336	76	16	15	28	4	0	0	2	38	29	28	23	166
MSTRG.14337	21	5	4	16	1	0	0	0	0	0	0	6	20
MSTRG.14338	1	2	14	2891	4700	2645	22	3	0	2	3	10616	11785
MSTRG.14339	2	9	17	8159	14487	8159	21	2	0	1	2	4617	18313
MSTRG.14340	0	0	10	1786	1436	1491	1	4	0	5	0	107	2664
MSTRG.14341	364	249	298	2026	1319	1317	387	736	319	351	404	5930	5381
MSTRG.14342	4	17	6	33	56	37	11	31	23	21	25	121	114
MSTRG.14343	2744	3873	4486	4142	5052	3316	1636	2496	1335	2062	2438	78256	22375
MSTRG.14344	1033	1027	763	1648	846	842	131	630	5958	7732	8977	8621	40472
MSTRG.14345	84	126	117	329	457	412	489	650	194	382	389	195	1152
MSTRG.14346	0	0	0	1	0	0	0	0	8	2	8	0	35
MSTRG.14347	4	13	5	4	0	2	0	18	98	233	305	7	376
MSTRG.14348	567	557	608	4042	2995	3622	2296	4018	2246	3912	4565	8691	33943
MSTRG.14349	9	15	15	1	1	3	7	9	4	5	1	4	13
MSTRG.14350	3131	4331	4460	7919	15648	10424	2116	3692	5274	10319	10762	18162	65703
MSTRG.14351	277	311	315	994	1220	991	557	924	1210	1708	2273	4394	17558
MSTRG.14352	563	694	747	717	1383	568	508	1000	640	899	1104	15001	4221
MSTRG.14353	46	4	6	148	12	2	2	10	9	0	1	20	9
MSTRG.14354	0	0	1	41	85	37	0	2	26	46	42	10	124
MSTRG.14355	463	603	577	701	1245	690	427	889	1487	2457	2703	5211	10523
MSTRG.14356	1850	2519	3471	2946	6497	2648	3248	6520	3192	4155	4918	24850	24532
MSTRG.14357	2397	2495	2099	1903	3445	1560	352	1166	7248	9917	11018	7655	44427
MSTRG.14358	86	65	52	16	21	9	0	6	0	0	1	26	55
MSTRG.14359	1	0	0	0	3	1	0	1	0	0	0	136	0
MSTRG.14360	0	0	0	2	0	1	0	0	0	0	0	982	1
MSTRG.14361	2	9	3	231	420	250	1	0	3	3	3	3834	200
MSTRG.14362	0	2	8	461	582	582	2	2	0	0	1	933	2289
MSTRG.14363	0	0	0	5	18	7	0	0	0	0	0	2	24
MSTRG.14364	0	1	11	654	513	454	2	2	7	5	2	4671	4812
MSTRG.14365	32	43	29	1660	2193	1150	49	110	101	111	147	3063	2674
